epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2014.03,1.48696,0.84554,1.38029,0.80109,0.75348,0.78415,0.34954,1.97422,1.01033,1.76499,0.00051929,0.00051929,0.00051929
84,2038.33,1.49777,0.8405,1.37253,0.85896,0.79112,0.82993,0.36207,1.94241,0.98697,1.73338,0.000516245,0.000516245,0.000516245
85,2061.08,1.48762,0.83816,1.3725,0.83468,0.79546,0.82985,0.3527,1.95063,0.9956,1.73438,0.0005132,0.0005132,0.0005132
86,2084.65,1.47934,0.82272,1.36647,0.76483,0.77914,0.80768,0.34872,1.94403,1.01358,1.72814,0.000510155,0.000510155,0.000510155
87,2108.79,1.48861,0.84488,1.37194,0.81749,0.76699,0.79614,0.34938,1.94991,1.03061,1.73447,0.000507109,0.000507109,0.000507109
88,2133.38,1.47943,0.84138,1.36585,0.75689,0.79879,0.79896,0.36603,1.90303,1.02105,1.71356,0.000504064,0.000504064,0.000504064
89,2157.25,1.47193,0.82031,1.36282,0.77553,0.7848,0.79152,0.34796,1.93409,1.02026,1.72189,0.000501019,0.000501019,0.000501019
90,2181.19,1.46654,0.81742,1.36376,0.7922,0.74502,0.7883,0.36212,1.97189,1.01575,1.76597,0.000497974,0.000497974,0.000497974
91,2204.86,1.46102,0.80999,1.35359,0.79517,0.76439,0.7904,0.34753,1.94812,1.02046,1.76089,0.000494928,0.000494928,0.000494928
92,2228.77,1.46596,0.83032,1.3634,0.7747,0.79569,0.80753,0.35767,1.95803,1.01346,1.74987,0.000491883,0.000491883,0.000491883
93,2252.7,1.46753,0.80971,1.36089,0.7453,0.79642,0.79943,0.33146,1.97716,1.00939,1.76183,0.000488838,0.000488838,0.000488838
94,2276.29,1.47959,0.8168,1.35311,0.80848,0.77402,0.79401,0.34143,1.9504,1.02043,1.74935,0.000485793,0.000485793,0.000485793
95,2299.88,1.46297,0.81588,1.35827,0.82121,0.77915,0.82124,0.37033,1.93293,0.98842,1.73246,0.000482747,0.000482747,0.000482747
96,2324.08,1.47613,0.81478,1.35664,0.85743,0.73128,0.79308,0.35142,1.96557,1.01707,1.74983,0.000479702,0.000479702,0.000479702
97,2347.95,1.45511,0.81367,1.36207,0.79195,0.76897,0.78438,0.34183,1.94033,1.01414,1.7546,0.000476657,0.000476657,0.000476657
